SampleID,StationCode,SampleDate,Replicate,FinalID,BAResult,Result,SampleTypeCode,ActualOrganismCount
SMC00345_40743_1,SMC00345,7/19/2011,1,Heteroleibleinia kossinskajae,NA,125.7753342,Microalgae,2
SMC00345_40743_1,SMC00345,7/19/2011,1,Achnanthidium exiguum,6,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Amphora copulata,10,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Amphora pediculus,33,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Bacillaria paradoxa,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Cocconeis placentula,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Cocconeis placentula var euglypta,112,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Cocconeis placentula var lineata,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Cyclotella,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Cyclotella meneghiniana,5,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Denticula subtilis,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Diadesmis,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Diadesmis gallica,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Diploneis sp 1 SCCWRP JPK,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Entomoneis alata,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Entomoneis paludosa,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Eolimna minima,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Fallacia,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Fallacia monoculata,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Fallacia pygmaea,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Gomphonema parvulum,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Gomphosphenia,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Gyrosigma acuminatum,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Halamphora,7,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Halamphora coffeaeformis,6,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Halamphora normanii,9,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Hippodonta hungarica,7,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Hippodonta sp 1 SCCWRP JPK,4,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Luticola mutica,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Melosira varians,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula,34,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula cari,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula cincta,9,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula graciloides,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula gregaria,18,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula longa,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula peregrina,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula recens,6,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula schroeteri,5,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula submuralis,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Navicula veneta,15,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia,20,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia amphibia,14,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia capitellata,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia communis,7,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia compressa var vexans,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia desertorum,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia dubia,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia inconspicua,24,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia lacuum,23,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia liebethruthii,22,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia linearis,4,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia microcephala,7,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia minuta,4,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia palea,3,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Nitzschia sociabilis,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Pinnularia divergentissima,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Planothidium,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Planothidium lanceolatum,83,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Pleurosigma elongatum,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Rhoicosphenia sp 1 SCCWRP JPK,16,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Surirella robusta,1,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Tryblionella calida,2,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Tryblionella constricta,13,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Tryblionella hungarica,6,NA,Integrated,600
SMC00345_40743_1,SMC00345,7/19/2011,1,Tryblionella littoralis,3,NA,Integrated,600
SMC00345_40743_2,SMC00345,7/19/2011,2,Heteroleibleinia kossinskajae,NA,1125.207493,Microalgae,7
